USERID,r_score,f_score,m_score,rfm_wscore
51614,5,1,1,3.4
51618,3,1,1,2.1999999999999997
51619,3,1,1,2.1999999999999997
51620,3,1,1,2.1999999999999997
51625,5,1,1,3.4
51627,4,1,1,2.8
51630,4,1,1,2.8
51632,2,1,1,1.6
51633,5,1,1,3.4
51635,3,1,1,2.1999999999999997
51636,4,1,1,2.8
51637,3,1,1,2.1999999999999997
51639,5,1,1,3.4
51640,5,1,1,3.4
51645,5,1,1,3.4
51646,3,1,1,2.1999999999999997
51647,4,1,1,2.8
51651,2,1,1,1.6
51652,5,1,1,3.4
51656,4,1,1,2.8
51658,5,1,1,3.4
51659,1,1,1,0.9999999999999999
51660,2,1,1,1.6
51662,5,1,1,3.4
51664,2,1,1,1.6
51666,2,1,1,1.6
51668,4,1,1,2.8
51671,5,1,1,3.4
51675,5,1,1,3.4
51676,5,1,1,3.4
51677,1,1,1,0.9999999999999999
51678,1,1,1,0.9999999999999999
51679,5,1,1,3.4
51680,5,1,1,3.4
51681,4,1,1,2.8
51683,5,1,1,3.4
51684,5,1,1,3.4
51686,5,1,1,3.4
51687,1,1,1,0.9999999999999999
51688,1,1,1,0.9999999999999999
51690,2,1,1,1.6
51692,5,2,1,3.7
51696,2,1,1,1.6
51699,2,1,1,1.6
51700,4,1,1,2.8
51701,5,1,1,3.4
51703,5,1,1,3.4
51704,2,1,1,1.6
51705,3,1,1,2.1999999999999997
51706,3,1,1,2.1999999999999997
51707,4,1,1,2.8
51709,2,1,1,1.6
51710,3,1,1,2.1999999999999997
51714,3,1,1,2.1999999999999997
51716,5,1,1,3.4
51718,5,1,1,3.4
51720,4,1,1,2.8
51721,2,1,1,1.6
51724,4,1,1,2.8
51725,5,1,1,3.4
51726,2,1,1,1.6
51727,1,1,1,0.9999999999999999
51731,3,1,1,2.1999999999999997
51733,4,1,1,2.8
51734,4,1,1,2.8
51737,1,1,1,0.9999999999999999
51738,2,1,1,1.6
51739,5,1,1,3.4
51741,3,1,1,2.1999999999999997
51743,2,1,1,1.6
51744,2,1,1,1.6
51747,5,1,1,3.4
51748,4,1,1,2.8
51754,4,1,1,2.8
51757,2,1,1,1.6
51759,1,1,1,0.9999999999999999
51760,4,1,1,2.8
51761,5,1,1,3.4
51762,5,1,1,3.4
51764,1,1,1,0.9999999999999999
51765,2,1,1,1.6
51766,5,1,1,3.4
51767,4,1,1,2.8
51768,5,1,1,3.4
51769,1,1,1,0.9999999999999999
51771,3,1,1,2.1999999999999997
51772,3,1,1,2.1999999999999997
51775,5,1,1,3.4
51778,4,1,1,2.8
51781,3,1,1,2.1999999999999997
51782,2,1,1,1.6
51785,4,1,1,2.8
51788,3,1,1,2.1999999999999997
51790,4,1,1,2.8
51793,1,1,1,0.9999999999999999
51794,5,1,1,3.4
51795,4,1,1,2.8
51797,1,1,1,0.9999999999999999
51798,3,1,1,2.1999999999999997
51799,2,1,1,1.6
51802,4,1,1,2.8
51804,2,1,1,1.6
51805,5,1,1,3.4
51808,4,1,1,2.8
51810,3,1,1,2.1999999999999997
51812,5,1,1,3.4
51814,4,1,1,2.8
51821,1,1,1,0.9999999999999999
51823,4,1,1,2.8
51825,2,1,1,1.6
51826,5,1,1,3.4
51827,5,1,1,3.4
51831,2,1,1,1.6
51832,1,1,1,0.9999999999999999
51833,1,1,1,0.9999999999999999
51835,2,1,1,1.6
51839,1,1,1,0.9999999999999999
51843,5,1,1,3.4
51845,2,1,1,1.6
51847,1,1,1,0.9999999999999999
51849,4,1,1,2.8
51851,3,1,1,2.1999999999999997
